62, 65, 70, 74, 80, 86, 92, 99, 107, 116, 125, 136, 147, 160, 175, 190, 208, 227, 248, 272, 298, 

63, 66, 71, 76, 81, 87, 94, 101, 109, 118, 128, 139, 151, 164, 179, 195, 213, 233, 254, 279, 305, 

64, 68, 72, 77, 83, 89, 96, 103, 111, 120, 131, 142, 154, 168, 183, 199, 218, 238, 260, 285, 313, 

65, 69, 73, 78, 84, 90, 97, 105, 114, 123, 133, 145, 157, 171, 187, 204, 223, 243, 266, 292, 320, 

66, 70, 75, 80, 86, 92, 99, 107, 116, 125, 136, 148, 161, 175, 191, 208, 228, 249, 273, 299, 327, 

67, 71, 76, 81, 87, 94, 101, 109, 118, 128, 139, 151, 164, 179, 195, 213, 233, 254, 279, 305, 335, 

68, 72, 77, 83, 89, 95, 103, 111, 120, 130, 141, 154, 167, 182, 199, 217, 237, 260, 285, 312, 342, 

69, 73, 78, 84, 90, 97, 105, 113, 122, 133, 144, 157, 171, 186, 203, 222, 242, 265, 291, 319, 350, 

70, 74, 79, 85, 92, 99, 106, 115, 125, 135, 147, 160, 174, 190, 207, 226, 247, 271, 297, 325, 357, 

71, 75, 81, 87, 93, 100, 108, 117, 127, 138, 150, 163, 177, 193, 211, 231, 252, 276, 303, 332, 364, 

72, 76, 82, 88, 95, 102, 110, 119, 129, 140, 152, 166, 181, 197, 215, 235, 257, 282, 309, 339, 372, 

73, 78, 83, 89, 96, 104, 112, 121, 131, 143, 155, 169, 184, 201, 219, 240, 262, 287, 315, 345, 379, 

74, 79, 84, 91, 98, 105, 114, 123, 134, 145, 158, 172, 187, 204, 223, 244, 267, 293, 321, 352, 387, 

75, 80, 86, 92, 99, 107, 116, 125, 136, 147, 160, 175, 191, 208, 227, 249, 272, 298, 327, 359, 394, 

76, 81, 87, 93, 101, 109, 117, 127, 138, 150, 163, 178, 194, 212, 231, 253, 277, 304, 333, 365, 401, 

77, 82, 88, 95, 102, 110, 119, 129, 140, 152, 166, 181, 197, 215, 235, 258, 282, 309, 339, 372, 409, 

78, 83, 89, 96, 104, 112, 121, 131, 142, 155, 169, 184, 200, 219, 239, 262, 287, 315, 345, 379, 416, 

79, 84, 90, 97, 105, 114, 123, 133, 145, 157, 171, 187, 204, 223, 243, 267, 292, 320, 351, 386, 424, 

80, 85, 92, 99, 107, 115, 125, 135, 147, 160, 174, 190, 207, 226, 248, 271, 297, 326, 357, 392, 431, 

81, 86, 93, 100, 108, 117, 127, 137, 149, 162, 177, 193, 210, 230, 252, 275, 302, 331, 363, 399, 438, 

82, 87, 94, 101, 110, 118, 128, 139, 151, 165, 179, 196, 214, 234, 256, 280, 307, 337, 369, 406, 446, 

83, 89, 95, 103, 111, 120, 130, 141, 154, 167, 182, 199, 217, 237, 260, 284, 312, 342, 375, 412, 453, 

84, 90, 97, 104, 113, 122, 132, 143, 156, 170, 185, 202, 220, 241, 264, 289, 317, 347, 381, 419, 460, 

85, 91, 98, 105, 114, 123, 134, 145, 158, 172, 188, 205, 224, 245, 268, 293, 322, 353, 387, 426, 468, 

86, 92, 99, 107, 116, 125, 136, 147, 160, 175, 190, 208, 227, 248, 272, 298, 327, 358, 394, 432, 475, 

87, 93, 100, 108, 117, 127, 137, 149, 162, 177, 193, 211, 230, 252, 276, 302, 332, 364, 400, 439, 483, 

88, 94, 101, 110, 118, 128, 139, 151, 165, 179, 196, 214, 234, 256, 280, 307, 337, 369, 406, 446, 490, 

